text,labels
"# Sasikala's sudden exit from politics has turned into an advantage for #AIADMK, a jolt to her nephew #TTVDhinakaran, and a shocker to DMK. TamilNadu politics is important for her decision decode why I

# TNElection2021 # TNAssemblyElections2021 @TheQuint

",1
"Karumbukadai is one of the most populated constituencies in # TamilNadu's #Coimbatore. Yet, it lacks proper roads, healthcare centres, government banks, and even a government school.

# TNElection2021 # TNAssemblyElections2021 #DMK #AIADMK @TheQuint

",0
"Expression kalviccu incident ... Go to the store in person to comfort Minister SM. B velumani

#SPVelumani #AIADMK # TNElection2021 #Coimbatore

",0
"RT @ThanthiTV: CM palanicami Edappadi block competitive advantage and to whom? | People who Page |
",0
"""Be the change you want see"". Voters do now change your voting pattern at least TN Dear not go behind you will INC BJP fail DMK AIADMK TN, TN culture, your family and your kids future.
Vote for honesty, better life, peace and change #CoimbatoreSouth # TNElection2021",0
"If Stalin and DMDK # TNElection2021 that would come back to be a huge shift in power, for all things said and done pretty well so far managed AIADMK has under EPS.",1
"Srivaikuntam Congress candidate in the office raid
",1
Mass speech we are waiting # TNElections2021 # TNElection2021 #aiadmk ,1
# TNElection2021 @CMOTamilNadu you should have think wisely and inform to your highness #ModiJi to keep the #ITRaid after c ...,0
"In the past 10 years, the ruling states is wrong ive done wrong?
49.53% of gunfire certainly have stairlait
21.88 per cent said that eight SniperSpy
18.70 per cent said that Speed ​​tervutarkolai
# TNElections2021 # TNElection2021 #aiadmk # dmk4tn",0
"RT @ news7tamil: #NEWSUPDATE | For the past 10 years, the DMK and the Congress have been enjoying repentance - opannircelvam

",1
"BJP candidate booked under sections 3 on Teri!

",0
RT @chnharish: Minister Kadamboor Raju Kovilpatti constituency voters compete with information relating to the payment being Cor ...,0
"Horoscope, who will rule over the castle? # Mukastalina? # Etappatipalanicamiya? #Tamil #TamilNadu #BREAKING # EdappadiKPalan ...",1
Both DMK and AIADMK are burning ?? Digital ads targeting with on cash out any logical user persona. Just burning cash. # TNElection2021 #AIADMK #DMK,0
"While talking to Chidambaram dispersed public

",0
"We know just mapa Collection Corruption Commission - SM NASAR, AVADI DMK CANDIDATE


",0
"DMK ruins of the program.! Balu PMK candidate in joy. !! | PMK | DMK | ELECTION 2021
",1
"Jayakumar cheated the people, for the people will do what you want! -",0
"#ELECTIONBREAKING | We have allocated one lakh crore in Tamil Nadu Road Development - Prime Minister
",1
"Kadamboor Raju, Minister of Kovilpatti constituency voters compete with the information relating to the payment being captured diary. The secretary of the AIADMK, including 4 cases reported in the city. #Kovilpatti #KadamburRaju #AIADMK # TNElection2021",0
"As leader should come Edappadi decided Panneerselvam! Ravindran Duraisamy | Seeman

",0
"Villivakkam constituency AIADMK candidate Prabhakar intensive campaign jeciti
",1
Y r not happening in these raids admk and bjp. Both will b thrown away. # TNElections2021 # TNElection2021 #aiadmk # dmk4tn # TamilNaduElections2021,0
"Tirumayam constituency AIADMK candidate cleverer village to village campaign

",1
"

No PM has allocated to fund more than modi ji Tamilnadu.

#BJP #Aiadmk # T ...",0
"AIADMK program ended.! Balu PMK candidate in joy. !! ELECTION 2021
",0
"Ï Will the campaigning group AIADMK candidate fail Thamilvanan

",0
"AIADMK coalition party candidates have to work for success

",1
"What is worthy of Stalin change insiyalai - pon
",1
"Padmanabhapuram voting constituency AIADMK candidate John Gold Collection
",1
"Patavikotukkave Udhayanidhi Stalin did so! - Edappadi Palaniswami Speech



# TamilNaduElections2021",1
"100% voter awareness emphasizing dance show

#AIADMK #ElectionWithNewsJ # TNElection2021",1
"The Chief Minister thanked the farmers for palanicami Edappadi

#NewsJ #AIADMK #ElectionCampaign #EPS #Farmers",1
"Raju Madurai West constituency AIADMK rival candidate support

#AIADMK",1
"If there is any one who can set on fire to earth alone AIDMK.

",1
"Vote for AIADMK in Tamil Nadu to pursue good governance

",1
"While talking to Chidambaram dispersed public

#AIADMK # TNElection2021",0
"AIADMK giving taxpayer money to people through programs

#AIADMK #AIADMKCandidate # TNElection2021",1
"It's a Face-Off between former city Mayors
",1
Irukkurinkala better for everyone? Modi's speech at the rally in Madurai!,1
"AIADMK to power again
",1
"Cooking gas cylinder to six per year will be charged
",1
"""Constantly try to resolve the grievances of the people""",1
"More PM Modi Visits TN, More Likely BJP to Win ""0"" Seats

",0
# TNElection2021 should you have to inform your highness think wisely and keep to ModiJi ITRaid after the campaign ends. ??. It s all over for AIADMK,0
Useless trying 4 backdoor entry - # TNElections2021 # TNElection2021 #aiadmk # dmk4tn # TamilNaduElections2021 #VoteForDMK #VoteForDMKalliance,0
"In the state of Tamil Nadu, the AIADMK regime is currently powersurplus ""

",1
"AIADMK-BJP alliance candidates backed by Prime Minister Modi to campaign in Madurai;

Pantiko rinrotu mother at the public meeting at 11.30 am on the ground palanicami the Principal, Vice Principal opannircelvam include participation

",1
"Alleged violation of rules for distributing the token

",0
"207 candidates accused of serious crimes
Parties Fielded Those Charged With Murder, Rape:
Says a report by the Association of Democratic Reforms (ADR) after studying affidavits.
# TNElection2021 # TNAssemblyElections2021 #AIADMK #BJP",0
AIADMK careful and take necessary preventive measures. https://t.co/MOIYce2E29,0
Very intresting to hear from  for his vision on the development of the state,1
Strong alliance to fulfill the basic needs of the people set the highest nokkotu,1
"Cancel crop agriculture: p. Chidambaram question

",0
"Speaking derogatorily about my mother? - During the campaign, kankalankiya CM

",1
"Raja campaign against prohibited urgent appeal on behalf of the Madras High Court

Tertaluk ...",1
Worst of behavior and chinna maanga big - should b mani defeated suitcase. # TNElections2021 # TNElection2021 #aiadmk,0
"A. Raja, you deserve all this Prasies AIADMK # TNElection2021 #AIADMK",1
"
BJP leaders in the state subsequent to the campaign?

",0
"Good to see our Honorable narendramodi PM in Tamil Nadu ... Kindly have more visit for more victory ... My inner thought said, this time you will win 7/20 in # TNElection2021. Overall winning #AIADMK Team 190/234 only #TNElection vaniti, Khushboo, L Murugan, Teri are sure winners of #BJP",1
Useless beggar. Worst maanga fellow chinna. # TNElections2021 # TNElection2021 #aiadmk # dmk4tn # TNELECTION2021BREAKING # TamilNaduElections2021 #VoteForDMK #VoteForDMKalliance #NoVoteForADMK https://t.co/NmpErpTPeU,0
"AIADMK blood running through my body and its tamil people s blood

",1
"BJP leaders in the state subsequent to the campaign?

",0
"Atimukavinar, people are bonded BJP Vaiko obsession!",0
Cellampatti Madurai district of Tamil Nadu in the midst of a crowd of people gathered ticaiyellam returned to the firstborn ...,0
"We will put an end to the succession of political support AIADMK

",1
"""The best leader motiyaivita not worry about the people of Tamil Nadu"" - Amit Shah.


",0
Last 2 yrs we will add They worked hard to save statement tn from people and we have taken the pain of corona corona ins ...,1
"Seven of the AIADMK government in Tamil liberation policy, so bear. Parole bear thinking AIADMK government, relying on her.And vituvikkumnu ...",0
"Payment - sued AIADMK MLA!

",0
What if next climax all options buzzz r - The so called land farming without samy will end up acting like famer who says he got corona & will try to gain sympathy vote. thermacoal Chinrasu BP might join for the race. # TNElections2021 # TNElection2021 #aiadmk,1
"Supreme Court refuses to investigate urgently so as not to

",0
"GAO Report provided with the video source to the payment of colavantan atimukavinar MLA booked on gem
",0
"EC dont have the guts to reject annamalai, vanathi radharavi admk member who used bad words, threatened dmk and kamal u ...",0
"Cellampatti Madurai district of Tamil Nadu, in the midst of a crowd of people gathered ticaiyellam returning firstborn opies sir .... when they collected a double-leaf logo Vote
",0
"A Raja, DMK MP in charge of defamation spoke about in the first 48 hours of the campaign, the Election Commission to ban ...",1
Pleasant suprise by the ruling gov # TNElections2021,1
"To fulfill the basic needs of the people set the highest nokkotu strong alliance - CM palanicami
",1
"Medical College will arrange to start soon ""- golden sun, Nagapattinam constituency AIADMK candidate

",1
"""Educated young people are given the opportunity to work with the Government"": Saroja

",1
"The poll battle, 2021 is turning out to be one of the most expensive ever.
From vehicles to public address systems, chairs ...",1
"4-year imprisonment with fine of Rs 100 crore, Tamil Nadu verrinataipotukiratu - p. Chidambaram
# TNElection2021 #AIADMK # tnassemblyelection2021
",1
"Alliance to have a good track
# TNElection2021 # TNAssemblyElection2021 #TNElectionsWithDinakaran # TamilNaduElections2021
",1
"AIADMK regime's corrupt regime
Aya velaikkukkuta AIADMK government is asking for bribes in millions
-",0
"# TNElection2021
For payments made in favor of the AIADMK lawyer Allankulam #AIADMK arrests and seized Rs .88,000",0
Pls understand People do not vote for the election stunt aiadmk # TNElections2021,0
"""Opinion imposition tip malunkippokum""

",0
"dont fall because of these election drama.
",0
"""If the DMK came to power, discredit the entire female race"" - Prime Minister!

",1
"Vijayapaskar minister in the name of spreading false news, artist news! At the time of the election, media villainy DMK pro ...",1
"Workers Welfare Board is set to canines: Kadamboor Raju

",1
"AIADMK government's achievements in the campaign, citing the minister IMDb

",1
"Not in power; Yet Stalin's speech frightens people!

",1
"This is only for drama after another few days as usual action packup start shooting. Part time
Jokers covid and entertaining us during election time. # TNElections2021",0
"""If the people who actually work on anyone not ignore"": rival Raju

",0
"""All the villagers are transformed into roads paved roads""",1
"AIADMK dent chances in Pollachi western TN sexual assault case?

#AIADMK",0
"Its said that BJP in Andhra Telugu Desam party may merge with, they face due to bad times when they are not in power. If it so happens, the rival party in Andhra BJP may become. Same will happen to this after ADMK Apr 21 election. # TNElection2021",0
"

i am common man

humble request for money do not give votes ...

first you're stop giving money, then i am stop getting. This is not make AIADMK will WIN

",0
"Deception eye, ear, nose Vechu was a figure that looked like they might just be Palanichany Edappadi see. Shop ...",0
"AIADMK government sold the land to the temple, put the strap. It is the position of having to go to court might be saved. In actuality Panchami land where mitkuratu ?? # TNElection2021 #BJP #AIADMK",0
Seems very sad senior citizens will be impacted.,0
"I'll be very happy, if AIADMK Anandan anna wins ?? #AIADMK",1
"R.B Udhayakumar is facing a legal fight from Marudhu Senai's Aadhinarayana Thevar, alliance partner of #AMMK. Thevar Aadhinarayana says they are moving to file a criminal case to the court seeking a direction to dismiss his affidavit on & RBU. # TNElection2021 #AIADMK #Madurai",0
"Several Chief Ministers of Tamil Nadu, the DMK came to power - the CM Palanichany speech in Sholinganallur

",1
"Polls, election results: opies - EPS AIADMK letter tontarkalukkuk
",1
"
This has created a sense of dissatisfaction amongst the people who you believed. candidate selection is vital, leaders must have the responsibility to take decisions without being on wrong that any exempted go to.
",0
"RT @ThanthiTV: #BREAKING || Intimidated election officials complained: Raju, Minister Kadamboor unconditional bail before a High Court ...",0
"Opposition AIADMK difficult to obtain status: kepalakirusnan Speech
",1
"""Talk controversy; Radharavi a fair, a fair Raja? - Minister Jayakumar question""

",1
"Own my brother aside Stalin; Good for healthy people do? - CM palanicami

",1
AIADMK candidate did not give her a laptop to laptop kotuttatakakkuriya volley ask a question ...,1
"Quality roads AIADMK government "": kepianpalakan!

",1
"Sunil tavaravittara Edappadi palanicami presenting commercials?

",1
"Last night the Deputy Chief opies kencampatti dung upon the Lord, who is trying to bowl. Security Guard opies fallen on it. As a relative of the person who threw excrement nakalapuram kalitac local police chief says. # AIADMK # TNElection2021",0
Even DMK workers and some candidates are on video sharing AMMK s EPS. Nothing wrong in sharing the video. Everyone including targeting EPS are MNM. #MakkalNeedhiMaiam #AIADMK # TNElection2021 https://t.co/Dy5KJam3so,1
"Minister Kadamboor raja has given  unconditional bail!

",0
"Intimidation of election officials in relation to the complaint filed in the High Court, Minister Kadamboor Raju Wine ...",0
Cause the woman countered caste issues,0
"All of our diplomacy wasted !! ??
# AIADMK # TNElection2021",0
"

People have all the free programs; The deceptive schemes",0
Karaikudi is at NDA with Issue Senthilnathan (Sivaganga Candidate) agaist ADMK working. Now is working against Bhaskaran at Senthilnathan Sivaganga. INC & AMMK are gaining because of these issues & it'll be very tough for H.Raja to even get 2nd place. # TNElection2021 #BJP #AIADMK,1
"

DMK chief's mother spoke libelous come to power, discredit the entire female race ...",1
"This is the current situation of sattur volume. To whom it intends to shore vitamin ""A""?",0
"Not even in the 2nd place at ADMK MDU East Constituency, Dinamani says. It also says the contest is between",0
"
DMK chief's mother spoke libelous come to power, discredit the entire female race ""
- Honorable Prime Minister Narendra Modi's election campaign CONSEQUENTIAL.

#PMModi | # TNElection2021 | #BJP | #AIADMK",1
"Cable TV predictions for Southern & Delta is favored by 90%, the DMK.",0
"Look back to the country, the AIADMK regime can be preserved and maintain law and order in

* Tell safe city for women ...",1
Union secretary Arcot driver led more than a hundred executives escalator escalator away from the aiati today ...,1
Atimukavirku turned in favor of the election platform - as usual minority DMK's vote bank concealment behind!,1
"60 percent of the tasks allocated Rs 230 crore for modernization completed Noyyal river.
Mom's rule again with the completion of the entire work.
",1
"EPS, with opies to olippa corruption? - Stalin's question on Modi

",0
"Why compliance with the federal government?

",0
"# TNElection2021BREAKING | ""If the DMK came to power, discredit the entire female race"" - Prime Minister!

#PMModi | # TNElection2021 | #BJP | #AIADMK",1
"8 people, including Deputy Speaker Pollachi Jayaraman and his son Praveen charge

",0
"Raj News recently published a survey on TV would win the hotspot of the story is this. Edappadi 59%, 44% of Stalin. Total ...",0
"The party for them. If in Delhi, the party will also disperse. Raid hai .. ??",0
"Free housing for transgender strap - Gajendra promise

#AIADMK | # TNElection2021

",1
"All candidates deposited empty ..!
",0
"AIADMK regime coconut farmers happy - Pollachi Jayaraman Comment
",1
"Following the talk, the more chance for Raja, Maran AIADMK To arouse controversy and win
",1
"RO Plant is set every village - Minister oesmaniyan campaign

",1
"Someone says that the father, the father says that the model has a lot of difference. Biological Difference to be. Rajendra Balaji said it was not wrong, but it was once asked how he tavaram Daddy avarnu another question. Nayayam startled you? # TNElection2021 #AIADMK",0
"AIADMK regime coconut farmers happy - Pollachi Jayaraman Comment

#AIADMK | # TNElection2021
",1
"கோவில்பட்டி தொகுதியில் தேர்தல் பறக்கும் படை அதிகாரியை மிரட்டியதாக அமைச்சர் கடம்பூர் ராஜூ மீது வழக்கு பதிவு செய்யப்பட்டுள்ள நிலையில், தனக்கு முன்ஜாமீன் வழங்க கோரி உயர்நீதிமன்ற மதுரை கிளையில் கடம்பூர் ராஜூ மனு ஒன்றை தாக்கல் செய்துள்ளார். # TNElection2021 #KadamburRaju #AIADMK",0
"AIADMK cacikalava again?
# TNElection2021

",0
The Mylapore constituency will witness a tough fight between AIADMK for,0
RT @InfosecIndian: Worst speech by E PSfails AIADMK will lose TNElection2021 #aiadmk,0
"BJP is contesting in the constituency, voters viniyakippatillai its money. Only if the candidate has separate supplies. But the latter offer a competitive group repression ₹ 500. ₹ 500 ottirku given DMK sides. # TNElection2021 #AIADMK #DMK #BJP",0
"Assembly Election 2021: Working with people at election time, the party is not for the other? ...",1
"""The only family member in the office of the DMK"" emarvijayapaskar

",1
"He's right. It was said Rajendra Balaji who is JJ Modi is our our Daddy and Mummy. When you call your own as party leader Mummy, then you can not call other party as a leader from your party to daddy. @Dayanidhi_Maran #AIADMK # TNElection2021",0
"Continuous operation., 6 people at the same time removing the latter from the party.!
",0
"The party for them. If in Delhi, the party will also disperse. Raid hai .. ?? #AIADMK # TNElection2021 https://t.co/PeCFW2X2g0",0
"Cennaiyila all modules of the converter district, district to district and bus fare away uyarttalamnu think someone colliyiruppankannu. I chennai - Ambattur, as well as over 10 rupees (Local Train) can make the cost. # TNElection2021 #Chennai #AIADMK",1
"AIADMK is contesting as an independent from the dismissal of two executives;
#AIADMK # TNElection2021 ...",0
"AIADMK Ministers coming against the Red cintanaikkararkal!

",0
"""The man turned, climbed in religion""
# TNElection2021 # ADMK #AIADMK",0
"AIADMK is contesting as an independent from the dismissal of two executives; Opies - EPS Activity
",1
Unique,1
"Bloody hell, sir, which is in the middle of the crank T.R comedy ..",0
"Raja across Tamil Nadu atimukavinar demonstration to protest!

",1
"

Sewer project will take action to implement fully the Tambaram area - T.K.M. vetpa Sir ive ...",1
"Atimukavirku turned in favor of the election platform - as usual minority DMK's vote bank concealment behind! #AIADMK #MKStalin # TNElection2021
",1
"... in the 234 block of four #DMK ivankala variable #AIADMK just who will win ...
",1
"8 people, including Deputy Speaker Pollachi Jayaraman and his son Praveen charge

* Pollachi Jayaraman tu ...",0
"AIADMK, BJP will ride in the back!
",0
"
No PM has allocated to fund more than modi ji Tamilnadu.

",1
"President Abdul Kalam and Prime Minister Modi government akkiyate, Vajpayee's government: Sun TV interview the Minister rival Raju?",1
To speak like that to win elections | interchangeably warring parties,0
"Style # Kamal collected at the gate! Meeting accumulation! #DMK #AIADMK # TNElection2021 # TNElections2021 #Tamil #TamilNadu #BREAKING

",1
In the case of assets of former AIADMK MLA 1991 cinnacelam block paramacivattirku 33 million won fine ...,0
Bodi Assembly constituency vinopaji colony verriccinnamam ?? Neither Sir opies double leaf symbol son of the soil ...,0
"Katuvetti Guru Ramdas today have otherwise. They killed 48 days, put anesthetic injection. Father for permission to see the ...",0
why ur not ur saying ur acheivements as the ruling party. If u have the guts acheivements as talk about the way u speak ur fear is that bcos of u will loose this time.,0
"In the case of assets of former AIADMK MLA, who won the seat in 1991 cinnacelam paramacivattirku 33 million fine, 4-year prison sentence Villupuram Court #AIADMK # TNElection2021",1
Sir Entertainment Started. He speaks from heart,1
Useless Sanghi editing videos to target a lower caste leader # TNElections2021 # TNElection2021 #aiadmk # TNELECTION2021BREAKING,0
These guys are TimesDemocracy was conducted by giving a false information saying that you survy this. Please raise a case against genuinity without admk supporting this one. # TNElections2021 # TNElection2021,0
"The strap can be arranged to provide free housing for poor people: Rajendra Balaji!

",1
"Ive had a better rule is to ask the people to vote
",1
"Chit Fund Company owned kinsmen Minister AFMC Sampath will take place in various locations, including the income tax test ...",0
"Minister CV after the election will go to prison

- Dindigul Leoni speech Vikravandi

",0
"#BJP #AIADMK # TnElection2021
Put the name of the party, fear, afraid to put the image of the party leader!
Where's the party over to you?
AIADMK, BJP will ride in the back!
Cintippira AIADMK volunteers!

",0
"CM palanicami araca apologizing to open up ...

",1
In the state of law and order is funny. # TNElections2021 # TNElection2021 # TNELECTION2021,1
A.Rasa has spoken so vulgarly about my mother; what will be the DMK comes to power tomorrow if the status of women? To win this makes AIADMK,1
We need vide very emotional in these kind of party leaders - lovabl friendly approachable ...,1
"In the campaign's first palanicami tears!

",1
"Jayalalithaa said that memorials corruption Ornament equal terminology WFS doctor, they jeyala now ...",0
AIADMK hope happy and win this election is,1
"RT @PTTVOnlineNews: # vattamecaivivatam

What is the benefit of the state BJP government has done?

",0
"Raja's mother criticized for their positive side Edappadi CM Palanichany AIADMK
",1
"
Chennai city is safe for women who are #AIADMK #EdappadiPalaniswami: CM Edappadi palanicami speech in Mylapore",1
