text,labels
"I feel strongly BJP alliance will ADMK ask for in a ministry, if not complete will not ADMK next 5 yrs. Ofcourse this will only happen if ADMK alliance wins, which is so highly unlikey DMK VoteFor",1
"Sushama Swaraj and BJP leaders said during a campaign Stalin udhayanidhi Arun Jaitley as passed away sidelined them PMModi

BJP has given a complaint to the Chief Electoral officer to cancel the candidature of Chepauk from DMK youth wing secy

# TNElection2021",0
"""At the time of the frightening political nokkattotu Income Tax department raided DMK show fear""

",1
Caparican families are more likely to believe in God. Ayyappa of Sabarimala on the hot bed. Found out a lot of ...,1
"So this is the right time., Who is both yours

",1
"Take just 1.36 rupees caparican from home, when he gave it back empty-handed, Mr ...",1
"Timukatan state autonomy should sound right.

Language rights timukatan ask.

In their party's flag, o ...",1
"""It became very crucial election""

",1
"Job, medical, science is important.

Education is important for this.

Rather than education is not important, important corutan says.

That Green Revolution, White Revolution, everything. Now the next leap.

Tallittu is going to go back now.

# TNElection2021 #DMK",1
"""Be the change you want see"". Dear TN Voters do not change your voting pattern at least now you will go behind DMK fail TN, TN culture, your family and your kids future.
Vote for honesty, better life, peace and change #CoimbatoreSouth # TNElection2021",1
"DMK conducting tax will be humbled

* For DMK panankattu uproar ancamattom fox ...

* Micavaiye facing ...",1
"We are with #DMK to save democracy, """,1
"Please annamalaiyai disqualified by intimidation on election campaign

Cow. Raja obstacle to the campaign. Teri threats made public only on the case?

Ban campaign, have both disqualified.

# TNElection2021 #DMK",1
"DMK to success is to let the compost activator income varitturaiyai kiviramani
",1
"Giving false information to the voters as BJPGayathriR she is.

",0
should you have to inform your highness think wisely and keep to ModiJi ITRaid after the c ...,1
"Women are spreading slander about the DMK-Congress alliance teacher "": minister Amit Shah",0
Election Commission EVM ayiruccam etuttuccellumpotu car repairs. Asked Carl lift ponankalam take another. ...,0
"So it's 1.36 lakh, not 380 crores! Gazzam vaccirunta household expenses ??
",0
"The family say politics
Worshiping Sami
Niruttikolvarkal now assume that ...

# TNAssemblyElections2021 # TNElection2021 # DMK #DMK",0
"Should the development of the state, people will have to decide whether the development of Udhayanidhi so do not vote for dmk",1
Aadhi Rajaram contesting against DMK Leader MK Stalin will badly lose. MK Stalin's Victory Margin will be between 27K - 50K. #DMK # TNElection2021,0
Raid Raid-D shouting to a natari how he did not think such a bungalow gave-D. This is the DMK's M. Karunanidhi (Stealth) crap.,0
"Income Tax Raid- with a will to destroy us., In response to the campaign Kanimozhi

",1
"For the past 10 years, the DMK and the Congress have been enjoying repentance
",1
"Timukatan state autonomy should sound right.

Language rights timukatan ask.

In their party's flag, the name of AIADMK Anna Anna statue holding timukatan should sound effects.

# TNElection2021 #ADMK #DMK",0
"Theres only one error piraccarattila saw as much as a whole, is it, that's up to your campaign will be thousands of ovvonnulayum Bota ava What?
",1
"Revealing that 76% of candidates who have criminal DMK!

#DMK #DMK Candidate # TNElection2021",0
"False propaganda, the crisis I'm Raid Operations diversion activities; You get success tarunkal",1
Why could not bring under GST- gasoline. strong point has dmk,1
"Jayakumar cheated the people, for the people will do what you want! - IDream R. Murthy
",0
DMK candidates taunt nvite him to their constituencies #DMK # TNelection2021 # tamilnaduassemblyelection2021 ht ...,1
Dmk stailn 3.50 million jobs for young people lead by said ..,1
"Rahul Gandhi's visit to the DMK will benefit
",1
"DMK, Congress should be ashamed ..!
",1
"

Kelvinnu terincutan sister heard that good.
Zor to answer the question asked ...",0
"3 places belonging to the DMK Northern Union Secretary rubadub checking income tax returns; None of the money in person at greater cikkatat went with summons to appear before Income Tax rubadub
",0
"During any elections, when political parties other means that they are generally using it as an excuse for their impending loss it!

# TNElection2021

#DMK
",1
"Timukavirku urge caution
",0
"The request for disqualification Udhayanidhi

",0
"Thanking the DMK AIADMK executive candidate!

",1
"I'm having difficulties. Give victory to the side of the people you obtain undisturbed. - DMK DMK leader MK Stalin's letter to volunteers

#DMK #MKStalin # TNElection2021",1
"Jayakumar cheated the people, for the people will do what they want

#DMK # TNElection2021

",0
"Anita student who sacrificed his life for the right to education - Stalin
",1
"False propaganda of the ruling sector, Raid activities, diversion measures do not citarivita your attention. - DMK DMK leader MK Stalin's letter to volunteers

#DMK # TNElection2021",1
"BJP complains Udhayanidhi tataikori competition!

Chief electoral officer seeking to contest the ban Udhayanidhi complaint to the BJP. Tamil Nadu BJP Modi spoke complained about the DMK candidate Udhayanidhi slandered.

",1
"Recovering the lost ..!
",1
DMK candidate Senthil Balaji affair threatened; In the case of BJP candidate Teri ... EC action on the 3 categories. !!!,1
... We will not be intimidated timukavinarai tankamattinka ninna up! - Teri to the comfort Warning! # TNElection2021,1
"DMK Youth secretary Swaraj condemned Udhayanidhi pancuri!
",0
"Stalin's social initiative trains students -free of cost- from the poor families in accounting software, 'Tally' and tailoring. In stark contrast BJP people s mind fills with hate and rancor. #DMK # TNElection2021",1
"Raza to ban campaign.

But speaking apacama vanati, threatening Annamalai can propagate.

Election commissioner ...",0
"""The fear of failure in the Raid @ BJP4India fraudulent actions, such as the growing public support @arivalayam""

- Association Organization Secretary Sir @RSBharathiDMK MP interviewed them.
",1
"In the election campaign in the constituency of South Salem klikkiyatu Udhayanidhi Stalin!
",1
"DMK Youth secretary Swaraj condemned Udhayanidhi pancuri!

#TNPolitics # TNElection2021 #DMK",0
"If there is any one who can set on fire to earth DMK Annadurai statue alone is it.

DMK rowdies would have done this, to split #Aiadmk votes and shake party #unity with #BjP.

Dont pay much attention to low life #DMK. I am ?? sure this is done by #DMk low lives # TNElection2021",0
"Anna Nagar constituency DMK candidate EPO takes place at home, the income tax raid

Income test nataiperuvataik condemning Ann ...",0
"Raid treat you a lot more. Raid to hold you, DMK still come up: muka Stalin # MKStalin ...",1
"

IT dmk party officials asking people to what is the source of income?
",0
"Violation of rules of conduct of the elections, the DMK spreading slander about her over the phone for calls IVRS tataivitikkakkori, set at the ...",1
"Rs .570 crore, the central government so far has nothing to do with the stuck truck

",0
"How low can stop these ppl?

Hope he loses in thousand lights
#DMK # TNElection2021

",0
"People's needs and not the needs of the people in state government ... .. !!

Pushed General (Yusuf Khan)

",1
"Election approaches and IT DMK Organization Secretary aresparati condemned that test taking is motivation.
",0
"DMK success is to let the compost activator income varitturaiyai

-
",1
"Timukavirku urge caution! - BJP tion.
",0
Karur DMK candidate Senthil Balaji Income Tax raid on the house,0
DMK everything to fear as it was frightening - Stalin's daughter turaimurukan was walking home ID Raid ...,1
"Ground reality differs from media

Irrespective of results dmk party doing a aggressive campaigning ahead all over Tamilnadu s every nook n corner to comparing DMK

If doesnt have alliance with DMK would be a different story congress results

# TNElection2021",0
"Anna Nagar constituency DMK candidate EPO takes place at home, the income tax raid

Anna Nagar road blockade in protest at the GAO income test nataiperuvataik

",1
should you have to inform your highness think wisely and keep to ModiJi ITRaid after the campaign ends. ??. Now it's a beginning of #DMK & #DMKAlliance,0
"Caparican income test will take place in the home, leaving nothing if not big, it is situated directly in favor of the DMK ...",1
"""Women of spreading slander about the DMK-Congress alliance teacher"": minister Amit Shah

",0
"Sushma Swaraj warned you to speak a lie .... Udhayanidhi Stalin's daughter ...


",0
"Revealing that 76% of candidates who have criminal DMK!

",0
"Let me tell you this.

Unless they find something the DMK here ... This is gonna help big time !!!

ROFL of a strategy just days before the elections!

",1
"""Self Esteem Support to recover the DMK""
",1
"""Pollachi affair DMK regime, given the heavy sentence
",1
"This rule came #DMK 2011 La atcila what they iruntucco price, the price of all the products available through the do ??????
",0
"Violation of rules of conduct for speaking to the 2 days of the election campaign banned EC Raja
",0
"DMK will not be intimidated by anyone, not to intimidate

-",1
"207 candidates accused of serious crimes
Parties Fielded Those Charged With Murder, Rape:
Says a report by the Association of Democratic Reforms (ADR) after studying affidavits.
",0
"#DMK is making all-out efforts to demolish the hold of its principal adversary, the ruling #ADMK, over the western region of #TamilNadu, a traditional bastion of the latter.
",1
"Voters #GPay, #PhonePe, #Paytm payment by: DMK complained to the Election Commission to take action",0
"""Women of spreading slander about the DMK-Congress alliance teacher"":",0
"New Generation Computing: DMK regime
",1
"I was mayor of rainwater drainage system was set to 135 km - MK Stalin
",1
This election is very different from what we Modi had earlier hitting DMK leaders including BJP leaders north (Who is n ...,0
"Raja campaign against prohibited urgent appeal on behalf of the Madras High Court

",1
"Brawler to fall at the feet
Pain valiillata
B witness destined to fall at the feet
In fact, the dimensions fall at the feet of the anti-brawler
The plot proper pedal
",0
Let's do it together or a better tomorrow!,1
A. Raja is all you need,0
"These are quite new tv funnywaiting dmk on advertisements for the election days away admk s responsewith intersting battle of the advertisements.
",0
"National leaders will not avail of the visit

",1
"""Tamil Nadu has subjugated mittetukkaventum .... ..""


",1
That shows how immature @Udhaystalin is! A political novice making statements which are blatant lies! Who writes speeches for these guys?,0
"Rahul Gandhi's visit to the DMK will benefit: ramacuppiramaniyan, political commentator

",1
"Dear TN people, pls defeat anti-hindu #DMK # TNElection2021",0
"Chennai matippakkat gave money to voters in case the police on 2 atimukavinar.

Devaraj provided money to voters, SHAKTHIVEL caught by the police and handed over to GAO.

",1
"Should the development of the state, people will have to decide whether the development of Udhayanidhi
",1
Not safe for women ',0
"This # tnelection2021 is not between #ADMK, #DMK Versus #MNM #kamalhaasan. it is the voters who are between true believers of change, as against corrupt people who want government to prevail to keep them forever slave. Potumtimukaatimuka # # # TNAssemblyElections2021 venretiruvom",0
Putting an end to the political heir,0
"DMK leader Stalin were engaged in the campaign in Coimbatore Tutiyalur laws of the turtle are known uruppatatu place laws as well as the BJP claimed that uruppatatu
",1
"Utayacuriyan Vote !!
Our first 'Mr Stalin, ""they
Our legislative candidate
",1
"DMK try to make the payment!

",0
"Volume for the benefit of students and people Tambaram, citlapakkam, matampakkam seven libraries were constructed in the areas of ...",1
"Try to solve the problems on the basis of the volume """,1
"Supreme Court refuses to investigate urgently so as not to

",0
This is in bad taste! One of the lies being spread in many elections,0
"Abuse of women DMK leaders are talking ... Prime Minister replying to Stalin slipping !!

Find out more messages ...",0
"A Raja, DMK MP in charge of defamation spoke about in the first 48 hours of the campaign to make the Election Commission has banned!
",0
"A raja barred from DMK Deputy General Secretary for campaign next 48 hours - ECI

And also from him delists star campaigners

",0
"Why they have not 'left' the #Dravidian land
Secular Ideology, Loyal Support Base In Pockets Make Certain CPI CPM And Good For The DMK Alliance Partners
",0
"The poll battle, 2021 is turning out to be one of the most expensive ever.
From vehicles to public address systems, chairs ...",1
"
Anti-Hindu party? DMK. # DMK #Karunanidhi #KalaingarinSathanaigal #Hindu #Temple #Tamilnadu # TNElection2021 #Dravidampazhagu",0
Aimes said to have laid the foundation brick in place; Udhayanidhi took it and now ...,1
"GAO conspire follow - emarvijayapaskar

",0
"People celittita life, to restore the rights of the Tamil Nadu utayacuriyan promise! '

",1
"

In the habit of dwelling they cutappokirom's success, allies, institutions who gives shocks. Etupatuma SSS serious talk anymore?
",1
Why do we always have to choose a lesser of two evils ?? # TNElection2021 #dmk #admk,0
"'Tea shops, barber stations, barracks Council developed the policy' - Udayanidhi Stalin
",1
"The only leader of the DMK leader Stalin against Modi - Udayanidhi
",1
"Being on being on the side of the side of justice is the commoners. It's time we had more people leaders.

",1
"42 crore 47 lakh has been seized so far in Salem district ..
",0
"

The chance to win 19 seats in alliance with DMK

",1
Hey is #DMK alliance engaged in WhatsApp and other person-to-person canvassing for # TNElection2021 # TNAssemblyElections2021? How's that going?,0
"l: Chepauk constituency candidate Rajendra Postal Vote vakkucavatiyai visited amamuka.

#DMK # Elections2021",0
"Showed love for the people, a strong love for the people dodging TN Election 2021

",1
"Petrol price hike opposition; Velu peacock cycled vote Collection
",1
"No worries about the people who did not

",1
"
This has created a sense of dissatisfaction amongst the people who you believed. candidate selection is vital, leaders must have the responsibility to take decisions without being on wrong that any exempted go to.
",0
I left the DMK spoke derogatorily -,0
"Volume for the benefit of students and people Tambaram, citlapakkam, matampakkam seven libraries built in the areas of ...

",0
# TNElection2021 Daily 2 times in various parts of Tamil Nadu could be cut short power of the ruling party so DMK election tactic should come to power,1
"Some people at work ....
Vote rising sun !!!


",1
"Resident edit atarittuvittu in state law, the report opposes the atimukavinar

",0
"Atimukavinar quotas for the election drama is capped. DMK regime provided reservation lies in the proper manner

",0
Current DMK MLA Constituency Kanchipuram from CVMP Ezhilarasan will comfortably win. #DMK #Kanchipuram # TNElection2021,1
"""DMK regime Likes""

",1
Kushboo says Thousand Lights at Our team has a slight edge over winning DMK s Dr. Ezhilan. We are actively monitoring the co ...,1
Cause the woman countered caste issues,1
Minister Jayakumar & Udhayanidhi Stalin will win confortably from Royapuram and Chepauk,1
"

People have all the free programs; The deceptive schemes - Dr. Karthikeyan, ...",0
"Remember hintukkale ..?
",0
"Government employees paid on the due date - Stalin
",1
Cable TV forecasts South & Delta is favored by 90% to DMK,1
Just see this crooked fellow of last few tweets. Actually he's worried about the prospects of #DMK in the # TNElection202 ...,1
"... promise to protect the rights of Tamil Nadu, the DMK-led secular progressive coalition.

Our logo # utayacuriyan pot # # # hand # arivalcuttiyalnatcattiram # katirarival ladder

",1
"In the street is a problem of basic facilities
",0
According to poll results putuyukam television back to our aitimuka coalition won 131 seats to form the government.,0
The DMK is sure to lose the election,0
DMK Karunanidhi DMK period only caused a lot of damage to some how missed time to damage control party and MKStalin That stopped it missed also return DMK second term in 2016 did not even do good like JJ did EPS,0
"Manapparai's DMK candidate will definitely not win. I challenge you all that, if this happens, I will take half of my moustache off.",0
"DMK party members removed dish tv dish near center in #Tanjavore If internet need to hack, it is very easy to provide any mobile towers going to remove towers Or if we put jamper , by using that , can hack .If not believe on election commission, nothing can be done",0
DMK has a history of Corruption In TAMIL NADU . So DMK will lose the ELECTION 2021 in tn.,0
They Have introduced an education system called samacheer kalvi which is useless,0
Corrupted DMK will fail,0
"Debtor in the country billions of corporate companies, multi-trillion tax teach, DMK's election promises can be fulfilled",0
Tamils ​​have saved the life of the secular Progressive Alliance candidates should win the majority of votes,0
Inproper powersupply in DMK's past rule .,0
Public school students in medical education to provide 10% reservation for Puducherry Government to approve the bill by the BJP government immediately,0
its seems like Dmk have introduces bribery system in Tamil nadu,0
DMK-AIADMK state autonomy until today did what?,0
Being on being on the side of the side of justice is the commoners. It's time we had more people leaders.,0
dmk cant even stand before admk says people in election 2021 tamil nadu,0
"The family rule is a war between democracy in this election. In Tamil Nadu, the DMK conclude ...",0
"In the case of the port of fishermen deceptive Prime Minister Revenue authorities, leaving nothing to the test …",0
"Compared to all AIADMK will be better a party because if DMK comes then there won't be any fund since they weren't in ruling for past 10yrs, ",0
I am pleased to hear about the Government setting up the Tamil Academy of Delhi. This will help to develop cross-cultural In TAMIL NADU .,0
DMK MP re-election campaign started to bow,0
"Jayakumar cheated the people, for the people will do what you want! - IDream R. Murthy",0
